home_1,home_2,link_count,num_possible,avg_link,type,home_1_number,home_2_number
dqcncuc6,dqcng5m0,1,3,0.3333333333333333,0,1,2
dqcp4j1c,dqcp4kgx,1,2,0.5,0,1,1
dqcp1wg8,dqcp387x,1,3,0.3333333333333333,0,2,1
dqcncfne,dqcnf1dt,2,3,0.6666666666666666,0,1,2
dqcnfq3v,dqcnfq3y,1,2,0.5,0,1,1
dqcncu74,dqcncvvc,1,2,0.5,0,1,1
dqcnf69x,dqcnfkng,2,3,0.6666666666666666,0,2,1
dqcp1ym5,dqcp3bw4,2,3,0.6666666666666666,0,1,2
dqcnc5jg,dqcncvy1,1,3,0.3333333333333333,0,1,2
dqcnep20,dqcp41gx,1,2,0.5,0,1,1
dqcnfnyk,dqcnft5p,1,2,0.5,0,1,1
dqcp4jxf,dqcp4njf,2,3,0.6666666666666666,0,2,1
dqcnczy0,dqcp4ndf,1,2,0.5,0,1,1
dqcncsjm,dqcncw8h,1,3,0.3333333333333333,0,2,1
dqcnft40,dqcp434m,1,2,0.5,0,1,1
dqcnfgqb,dqcng5fy,1,2,0.5,0,1,1
dqcnfmnj,dqcnfmnq,1,2,0.5,0,1,1
dqcnc5rf,dqcndte4,1,2,0.5,0,1,1
dqcn8zhj,dqcnfnyk,1,3,0.3333333333333333,0,2,1
dqcncsvg,dqcncuc6,1,2,0.5,0,1,1
dqcncxc2,dqcp1c1u,1,2,0.5,0,1,1
dqcncesv,dqcndvdf,1,2,0.5,0,1,1
dqcncv9s,dqcncwfq,1,2,0.5,0,1,1
dqcnennp,dqcng06w,1,4,0.25,0,1,3
dqcndk23,dqcp40cq,2,4,0.5,0,2,2
dqcn9rge,dqcnbbup,1,3,0.3333333333333333,0,1,2
dqcp1vqh,dqcp4njg,1,2,0.5,0,1,1
dqcn7m93,dqcncgpy,1,2,0.5,0,1,1
dqcn7m93,dqcp4kbs,1,2,0.5,0,1,1
dqcnc5r3,dqcncdmb,1,2,0.5,0,1,1
dqcnf47s,dqcnfnd7,1,2,0.5,0,1,1
dqcnf69x,dqcnfcm5,1,4,0.25,0,2,2
dqcp1yek,dqcp4hv6,2,3,0.6666666666666666,0,2,1
dqcnc60q,dqcnc61s,1,3,0.3333333333333333,0,2,1
dqcnbbe7,dqcnbbup,1,3,0.3333333333333333,0,1,2
dqcn8zhh,dqcp4hru,2,3,0.6666666666666666,0,2,1
dqcnc2w6,dqcnc6vt,1,3,0.3333333333333333,0,2,1
dqcp1yek,dqcp4nfx,2,3,0.6666666666666666,0,2,1
dqcp1gtj,dqcp4kbs,1,2,0.5,0,1,1
dqcnc78q,dqcncv9s,1,2,0.5,0,1,1
dqcnbbdq,dqcncvh1,1,2,0.5,0,1,1
dqcnc8ft,dqcnfbhu,1,2,0.5,0,1,1
dqcncxy1,dqcp1bfj,1,2,0.5,0,1,1
dqcnf4v1,dqcngmjh,1,2,0.5,0,1,1
dqcp1cqm,dqcp428v,2,3,0.6666666666666666,0,1,2
dqcp1ymn,dqcp1zyx,1,2,0.5,0,1,1
dqcnc78x,dqcnfnyk,1,2,0.5,0,1,1
dqcnc5hk,dqcnc8h1,1,3,0.3333333333333333,0,2,1
dqcne1qu,dqcp4k3y,1,2,0.5,0,1,1
dqcnfq6s,dqcnfwk3,1,3,0.3333333333333333,0,2,1
dqcnctq4,dqcncwjy,1,2,0.5,0,1,1
dqcp4j6s,dqcp4ndf,1,2,0.5,0,1,1
dqcne28u,dqcp4m8p,1,2,0.5,0,1,1
dqcp41gr,dqcp428v,2,4,0.5,0,2,2
dqcp1bqv,dqcp3bq1,1,2,0.5,0,1,1
dqcnenmf,dqcngqhc,2,3,0.6666666666666666,0,2,1
dqcncb21,dqcnf1qx,1,2,0.5,0,1,1
dqcnc7bc,dqcncx46,1,3,0.3333333333333333,0,1,2
dqcn9xvx,dqcnbbpm,1,2,0.5,0,1,1
dqcp3b1f,dqcp3b1m,1,2,0.5,0,1,1
dqcp4jxf,dqcp4qe6,1,3,0.3333333333333333,0,2,1
dqcp4kb6,dqcp4ndn,1,2,0.5,0,1,1
dqcncucd,dqcnfss0,2,4,0.5,0,1,3
dqcne4gx,dqcng0rz,2,3,0.6666666666666666,0,2,1
dqcnctex,dqcncxbm,1,2,0.5,0,1,1
dqcnc9je,dqcnf6ew,1,2,0.5,0,1,1
dqcng2bf,dqcng746,1,4,0.25,0,3,1
dqcngggb,dqcp4ndf,1,2,0.5,0,1,1
dqcp1vqh,dqcp4hvf,1,2,0.5,0,1,1
dqcnc4u8,dqcnc89v,1,3,0.3333333333333333,0,2,1
dqcncsvg,dqcncum5,2,3,0.6666666666666666,0,1,2
dqcng2bf,dqcp1bqv,1,4,0.25,0,3,1
dqcp1bqv,dqcp41g5,1,2,0.5,0,1,1
dqcnbbdk,dqcnc5hk,2,3,0.6666666666666666,0,1,2
dqcne0v2,dqcngqwm,2,3,0.6666666666666666,0,2,1
dqcn9pzt,dqcp1byt,1,2,0.5,0,1,1
dqcp4jxf,dqcp4qsd,1,3,0.3333333333333333,0,2,1
dqcngfnt,dqcp4ndf,1,2,0.5,0,1,1
dqcjghk2,dqcncf58,1,2,0.5,0,1,1
dqcncdq7,dqcnctbb,2,5,0.4,0,2,3
