time_step,dimension,dimension_name,household_i,household_j,p_ji_value
1,1,repair,14,9,0.0
1,0,vacant,18,9,0.0
1,0,vacant,46,9,0.0
1,0,vacant,19,9,0.0
1,0,vacant,7,9,0.0
1,0,vacant,13,9,0.0
1,0,vacant,14,9,0.0
1,2,sell,18,9,0.0
1,2,sell,46,9,0.0
1,2,sell,19,9,0.0
1,2,sell,7,9,0.0
1,2,sell,13,9,0.0
1,2,sell,14,9,0.0
1,1,repair,33,10,0.0
1,1,repair,18,10,0.0
1,1,repair,7,10,0.0
1,1,repair,40,10,0.0
1,1,repair,50,10,0.0
1,0,vacant,33,10,0.0
1,0,vacant,18,10,0.0
1,0,vacant,7,10,0.0
1,0,vacant,40,10,0.0
1,0,vacant,50,10,0.0
1,2,sell,33,10,0.0
1,2,sell,18,10,0.0
1,2,sell,7,10,0.0
1,2,sell,40,10,0.0
1,2,sell,50,10,0.0
1,1,repair,37,12,0.0
1,1,repair,42,12,0.0
1,1,repair,48,12,0.0
1,1,repair,41,12,0.0
1,1,repair,38,12,0.0
1,1,repair,40,12,0.0
1,0,vacant,37,12,0.0
1,0,vacant,42,12,0.0
1,0,vacant,48,12,0.0
1,0,vacant,41,12,0.0
1,0,vacant,38,12,0.0
1,0,vacant,40,12,0.0
1,2,sell,37,12,0.0
1,2,sell,42,12,0.0
1,2,sell,48,12,0.0
1,2,sell,41,12,0.0
1,2,sell,38,12,0.0
1,2,sell,40,12,0.0
1,1,repair,47,13,0.0
1,1,repair,34,13,0.0
1,1,repair,49,13,0.0
1,1,repair,9,13,0.0
1,1,repair,46,13,0.04301442075670466
1,0,vacant,47,13,0.0
1,0,vacant,34,13,0.0
1,0,vacant,49,13,0.0
1,0,vacant,9,13,0.0
1,0,vacant,46,13,0.0
1,2,sell,47,13,0.0
1,2,sell,34,13,0.0
1,2,sell,49,13,0.0
1,2,sell,9,13,0.0
1,2,sell,46,13,0.0
1,1,repair,27,14,0.0
1,1,repair,50,14,0.0
1,1,repair,45,14,0.0
